               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.20544,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0032813,           0.0032813,            0.070469
                   1,             0.20416,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0059597,           0.0059597,            0.039814
                   2,             0.20305,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0079782,           0.0079782,           0.0084991
                   3,             0.20467,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                   4,             0.20444,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                   5,             0.20133,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                   6,             0.20227,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                   7,             0.20466,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                   8,             0.20409,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                   9,              0.2013,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
